country_code,country_name,gini
AGO,Angola,51.27211119824917
ALB,Albania,29.41962981707301
ARE,United Arab Emirates,25.96627908793754
ARG,Argentina,42.00512831728733
ARM,Armenia,27.94013044132633
AUS,Australia,34.33376217623682
AUT,Austria,29.80179166001052
AZE,Azerbaijan,26.55490770503052
BDI,Burundi,38.62481871355873
BEL,Belgium,25.958330474072
BEN,Benin,37.80860003086335
BFA,Burkina Faso,47.34712783901176
BGD,Bangladesh,32.38527251961525
BGR,Bulgaria,40.52315362501362
BIH,Bosnia and Herzegovina,33.03018586994583
BLR,Belarus,24.38335524432793
BLZ,Belize,53.26276590749404
BOL,Bolivia,40.91332392636294
BRA,Brazil,52.91669162972816
BTN,Bhutan,37.44140955485156
BWA,Botswana,53.32502673276546
CAF,Central African Republic,56.23660817940872
CAN,Canada,32.50926986679282
CHE,Switzerland,33.14105099791199
CHL,Chile,44.92093952055847
CHN,China,38.16834246411924
CIV,Cote d'Ivoire,37.18356355745244
CMR,Cameroon,46.64087375714326
COD,"Congo, Dem. Rep.",42.09970921922327
COG,"Congo, Rep.",48.93867053593574
COL,Colombia,51.49926877779332
COM,Comoros,45.33459471688263
CPV,Cabo Verde,42.38108736078773
CRI,Costa Rica,48.69107326446442
CYP,Cyprus,31.72794311567117
CZE,Czech Republic,26.24513155987875
DEU,Germany,31.71942955773169
DJI,Djibouti,41.58799161452292
DNK,Denmark,27.50426915220562
DOM,Dominican Republic,38.52985199332145
DZA,Algeria,27.61573091623685
ECU,Ecuador,45.80043993690857
EGY,"Egypt, Arab Rep.",31.8935584161079
ESP,Spain,34.86563085745742
EST,Estonia,30.73787469673061
ETH,Ethiopia,34.99312323123417
FIN,Finland,27.09116904232445
FJI,Fiji,30.70686743152849
FRA,France,30.66146963256677
FSM,"Micronesia, Fed. Sts.",40.05763132327369
GAB,Gabon,38.0243722914563
GBR,United Kingdom,32.6455212819424
GEO,Georgia,34.17861736068535
GHA,Ghana,43.52087898470239
GIN,Guinea,29.59195300100971
GMB,"Gambia, The",38.75720417551815
GNB,Guinea-Bissau,34.76523039627379
GRC,Greece,33.56061351922893
GTM,Guatemala,48.27858949121327
GUY,Guyana,45.11814167733495
HND,Honduras,48.16816743143374
HRV,Croatia,29.5442840444459
HTI,Haiti,41.10377373169419
HTI,Haiti,60.7868059371168
HUN,Hungary,29.71307428750227
IDN,Indonesia,37.91905363902141
IND,India,35.73385653271549
IRL,Ireland,29.22852652704547
IRN,"Iran, Islamic Rep.",40.9359683769497
IRQ,Iraq,29.54185695660273
ISL,Iceland,26.13158023316
ISR,Israel,38.57717384665088
ITA,Italy,35.24422443385545
JAM,Jamaica,45.45747436622845
JOR,Jordan,33.6557303109807
JPN,Japan,32.85472862273798
KAZ,Kazakhstan,27.7928745774732
KEN,Kenya,40.77577253361157
KGZ,Kyrgyz Republic,28.98927351765195
KIR,Kiribati,27.83270304097769
KOR,"Korea, Rep.",31.40485646808574
LAO,Lao PDR,38.80243378589684
LBN,Lebanon,31.83244967411449
LBR,Liberia,35.26546118973468
LCA,St. Lucia,51.23330781386317
LKA,Sri Lanka,37.66377716344851
LSO,Lesotho,44.87970137435178
LTU,Lithuania,35.95736516906454
LUX,Luxembourg,33.37363762437074
LVA,Latvia,35.70476669655919
MAR,Morocco,39.54850870115624
MDA,Moldova,25.73163833736637
MDG,Madagascar,42.64818226834528
MDV,Maldives,29.28509126982113
MEX,Mexico,45.39872958755834
MHL,Marshall Islands,35.4829428879541
MKD,North Macedonia,33.50588361519707
MLI,Mali,36.13692014891341
MLT,Malta,31.40377901837464
MMR,Myanmar,30.6968695324388
MNE,Montenegro,36.8119267302466
MNG,Mongolia,32.740990379669
MOZ,Mozambique,53.99668162273381
MRT,Mauritania,32.61934988227014
MUS,Mauritius,36.76120593795564
MWI,Malawi,38.54317496683925
MYS,Malaysia,41.1767742674774
NAM,Namibia,59.06661436784657
NER,Niger,37.28104485440459
NGA,Nigeria,35.12774279386329
NIC,Nicaragua,46.15629418573036
NLD,Netherlands,25.99421239739252
NOR,Norway,27.74228333486965
NPL,Nepal,32.84058617688756
NRU,Nauru,32.3615792582577
PAK,Pakistan,29.58926559759775
PAN,Panama,50.86120518515648
PER,Peru,40.2498662848129
PHL,Philippines,37.26846711499847
PHL,Philippines,40.67906822188868
PNG,Papua New Guinea,41.8507882935714
POL,Poland,30.23947236495212
POL,Poland,28.76029007227583
PRT,Portugal,34.66863135504182
PRY,Paraguay,42.9055651590966
PSE,West Bank and Gaza,33.69004051320636
ROU,Romania,34.57247031684688
RUS,Russian Federation,36.02980921663823
RWA,Rwanda,43.71004775710728
SDN,Sudan,34.24319710758949
SEN,Senegal,38.12247243714418
SLB,Solomon Islands,37.05492697316315
SLE,Sierra Leone,35.69017755923103
SLV,El Salvador,39.01246199252461
SRB,Serbia,34.95233455565487
SSD,South Sudan,44.14412815221024
STP,Sao Tome and Principe,40.7495920046912
SUR,Suriname,57.85140393588816
SVK,Slovak Republic,23.23232449754634
SVN,Slovenia,24.03152847019764
SWE,Sweden,28.87188485273741
SWZ,Eswatini,54.57979366950237
SYC,Seychelles,32.12531971098883
SYR,Syrian Arab Republic,37.51460320008766
TCD,Chad,37.49915445789923
TGO,Togo,42.35222554473579
THA,Thailand,35.11532472124118
TJK,Tajikistan,33.99571811927981
TKM,Turkmenistan,40.80692740324234
TLS,Timor-Leste,28.65292638048231
TON,Tonga,33.52130406299598
TTO,Trinidad and Tobago,40.27296919497508
TUN,Tunisia,32.81588249697604
TUR,Turkiye,41.90910867806379
TUV,Tuvalu,39.13903338155151
TWN,"Taiwan, China",31.48271564455894
TZA,Tanzania,40.4912299517734
UGA,Uganda,42.7054538116376
UKR,Ukraine,25.62736131230022
URY,Uruguay,40.77735787155504
USA,United States,39.68308998303037
UZB,Uzbekistan,35.2687972707472
VEN,"Venezuela, RB",44.77049832090082
VNM,Vietnam,36.8134156251401
VUT,Vanuatu,32.31757475757549
WSM,Samoa,38.73180976093429
XKX,Kosovo,29.01294378907902
YEM,"Yemen, Rep.",36.70709434270193
ZAF,South Africa,63.02607272842364
ZMB,Zambia,57.13605842445153
ZWE,Zimbabwe,50.25645104555668
WLD,World,62.02449035644531
